contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,date,9,15,16,17,18,20,22,24,25,26,29,56,60,63,64,72,73,74,76,77,78,80,81,82,83,86,100,102,103,108,114,133,138,139,146,147,153,154,214,215,216,217,230,231,233,275,280,281,282,314,321,322,324,326,327,328,353,374,375,390,458,468,469,472,473,19,23,75,84,85,121,254,276,323,338,391,79,120,300,395,396,61,62,89,87,113,65,136,69,122,160,273,71,101,21,67,66,28,70,68,274
b2vft81kyjurzbmekvgrqwr64,Hobro,2592971635,18,15,1,1,42,M. Brajanac,4krwgfspxdgpq1pli11b04iga,1,77.2,40.3,2023-09-22T17:02:23.960,2023-09-22T17:03:38,1.0,"{""id"": 4523794079, ""qualifierId"": 22}",9pgdjsh2jwbmdfmrc97hcaqs4,B 93 vs Hobro,2023-09-22,NaN,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,51.5,19.0,NaN,NaN,true,NaN,NaN,98.4,48.6,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,23,NaN,NaN,NaN,NaN,NaN,0.035472363233566284,0.0623,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2592972137,21,13,1,2,27,M. Brajanac,4krwgfspxdgpq1pli11b04iga,1,98.1,45.5,2023-09-22T17:03:09.594,2023-09-22T17:04:28,1.0,"{""id"": 4523797619, ""qualifierId"": 231, ""value"": ""48.6""}",9pgdjsh2jwbmdfmrc97hcaqs4,B 93 vs Hobro,2023-09-22,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,true,Center,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.4,77.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,true,NaN,NaN,NaN,99.7,48.6,NaN,NaN,NaN,NaN,NaN,NaN,0.5100232362747192,NaN,NaN,3,1,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2592976825,99,15,1,9,13,L. Skjellerup,iygkwt0uv3gt899wmlbwc296,1,92.1,60.8,2023-09-22T17:09:55.463,2023-09-22T17:11:21,1.0,"{""id"": 4523823563, ""qualifierId"": 76}",9pgdjsh2jwbmdfmrc97hcaqs4,B 93 vs Hobro,2023-09-22,NaN,NaN,NaN,true,NaN,true,NaN,NaN,true,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,52.4,19,NaN,NaN,NaN,NaN,NaN,93.4,59.4,NaN,true,NaN,NaN,NaN,NaN,98.8,51.6,71,NaN,NaN,NaN,NaN,NaN,0.04408235475420952,NaN,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ajtb177oqwawkdwbqhldmq6mx,B 93,2592980425,111,13,1,14,23,R. Laursen,chrdistk8r32vvb45nvm6prdh,1,71.6,47.6,2023-09-22T17:15:04.740,2023-09-22T17:16:15,NaN,"{""id"": 4523842509, ""qualifierId"": 458}",9pgdjsh2jwbmdfmrc97hcaqs4,B 93 vs Hobro,2023-09-22,NaN,NaN,NaN,NaN,true,true,NaN,NaN,true,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,43.5,93.1,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,97.7,49.3,NaN,NaN,NaN,NaN,NaN,NaN,0.008525664918124676,NaN,NaN,1,3,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2592977943,121,15,1,10,46,L. Skjellerup,iygkwt0uv3gt899wmlbwc296,1,91.3,60.6,2023-09-22T17:11:27.626,2023-09-22T17:12:41,1.0,"{""id"": 4523829753, ""qualifierId"": 77}",9pgdjsh2jwbmdfmrc97hcaqs4,B 93 vs Hobro,2023-09-22,NaN,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.9,22.2,NaN,NaN,NaN,NaN,NaN,99.3,50.9,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,0.11452413350343704,0.0982,NaN,2,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ajtb177oqwawkdwbqhldmq6mx,B 93,2592982865,149,13,1,17,39,M. Mouritz,ezbixgm2km8iapnsl57bn4wkp,1,76.1,39.1,2023-09-22T17:18:21.273,2023-09-22T17:19:40,1.0,"{""id"": 4523854863, ""qualifierId"": 326, ""value"": ""2""}",9pgdjsh2jwbmdfmrc97hcaqs4,B 93 vs Hobro,2023-09-22,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,58.0,45.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,98.4,49.1,NaN,NaN,NaN,NaN,NaN,NaN,0.024330880492925644,NaN,true,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2592983349,189,15,1,18,26,L. Klitten,ea2x4o6ufsqoz2zz7tqcnvo16,1,93.4,64.9,2023-09-22T17:19:07.962,2023-09-22T18:02:21,1.0,"{""id"": 4523857595, ""qualifierId"": 64}",9pgdjsh2jwbmdfmrc97hcaqs4,B 93 vs Hobro,2023-09-22,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,true,true,NaN,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,true,46.1,6.9,NaN,NaN,NaN,NaN,true,99.4,48.7,NaN,true,NaN,NaN,NaN,NaN,99.7,53.3,NaN,NaN,NaN,NaN,NaN,true,0.09656833857297897,NaN,NaN,2,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ajtb177oqwawkdwbqhldmq6mx,B 93,2592986893,221,15,1,24,44,J. Erenbjerg,a6z9meo0yksv97ntwe0q2k650,1,89.5,29.9,2023-09-22T17:25:26.549,2023-09-22T17:27:10,1.0,"{""id"": 4523877529, ""qualifierId"": 63}",9pgdjsh2jwbmdfmrc97hcaqs4,B 93 vs Hobro,2023-09-22,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,true,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,47.8,5.7,NaN,NaN,NaN,NaN,NaN,96.3,42.1,NaN,true,true,NaN,NaN,NaN,NaN,NaN,260,NaN,NaN,NaN,NaN,NaN,0.10866233706474304,0.227,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2592985753,235,15,1,22,42,F. Mortensen,1xcf8y3egy8j0g2c6xkcx6o6h,1,82.6,45.2,2023-09-22T17:23:24.243,2023-09-22T17:24:36,NaN,"{""id"": 4523871439, ""qualifierId"": 82}",9pgdjsh2jwbmdfmrc97hcaqs4,B 93 vs Hobro,2023-09-22,NaN,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,52.0,19,NaN,NaN,NaN,NaN,NaN,90.3,48.2,NaN,NaN,NaN,NaN,NaN,NaN,98.6,49.8,190,NaN,NaN,NaN,NaN,NaN,0.08092159777879715,NaN,NaN,2,3,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2592985801,236,15,1,22,45,M. Brajanac,4krwgfspxdgpq1pli11b04iga,1,91.3,33.6,2023-09-22T17:23:27.250,2023-09-22T17:24:43,NaN,"{""id"": 4523872147, ""qualifierId"": 147, ""value"": ""45.8""}",9pgdjsh2jwbmdfmrc97hcaqs4,B 93 vs Hobro,2023-09-22,NaN,NaN,NaN,NaN,NaN,true,true,NaN,NaN,NaN,NaN,Center,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.1,24.7,true,true,NaN,NaN,NaN,98.5,45.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,192,NaN,NaN,NaN,NaN,NaN,0.04688413813710213,0.216,NaN,2,2,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ajtb177oqwawkdwbqhldmq6mx,B 93,2592988193,250,13,1,27,22,J. Erenbjerg,a6z9meo0yksv97ntwe0q2k650,1,84.6,48.9,2023-09-22T17:28:04.395,2023-09-22T17:29:14,NaN,"{""id"": 4523885637, ""qualifierId"": 17}",9pgdjsh2jwbmdfmrc97hcaqs4,B 93 vs Hobro,2023-09-22,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,true,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.5,4.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,98.4,49.8,NaN,NaN,NaN,NaN,NaN,NaN,0.05946965143084526,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,true,2592988191,g9dz6a44rdp4rbu7ztd2o1uo,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ajtb177oqwawkdwbqhldmq6mx,B 93,2592989981,307,15,1,31,25,J. Erenbjerg,a6z9meo0yksv97ntwe0q2k650,1,77.0,47.5,2023-09-22T17:32:07.890,2023-09-22T17:33:17,1.0,"{""id"": 4523895671, ""qualifierId"": 147, ""value"": ""49.6""}",9pgdjsh2jwbmdfmrc97hcaqs4,B 93 vs Hobro,2023-09-22,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.2,2.5,NaN,NaN,NaN,NaN,NaN,97.8,49.6,NaN,true,NaN,true,NaN,NaN,NaN,NaN,306,NaN,NaN,NaN,NaN,NaN,0.030062668025493622,0.4491,NaN,2,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ajtb177oqwawkdwbqhldmq6mx,B 93,2592991955,331,13,1,34,26,D. Thøgersen,bvc80w5ai425plu54nhgx5fxl,1,89.9,78.0,2023-09-22T17:35:08.600,2023-09-22T17:36:16,1.0,"{""id"": 4523905907, ""qualifierId"": 56, ""value"": ""Center""}",9pgdjsh2jwbmdfmrc97hcaqs4,B 93 vs Hobro,2023-09-22,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,true,true,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.1,76.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,98.4,54.3,NaN,NaN,NaN,NaN,NaN,NaN,0.019271044060587883,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2592993013,363,13,1,35,56,L. Skjellerup,iygkwt0uv3gt899wmlbwc296,1,86.2,52.5,2023-09-22T17:36:38.770,2023-09-22T17:38:03,1.0,"{""id"": 4523912823, ""qualifierId"": 74}",9pgdjsh2jwbmdfmrc97hcaqs4,B 93 vs Hobro,2023-09-22,NaN,true,NaN,true,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.1,93.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,98.6,50,NaN,NaN,NaN,NaN,NaN,NaN,0.026676464825868607,NaN,NaN,2,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ajtb177oqwawkdwbqhldmq6mx,B 93,2592996741,388,15,1,40,51,D. Thøgersen,bvc80w5ai425plu54nhgx5fxl,1,80.9,70.7,2023-09-22T17:41:32.792,2023-09-22T17:44:50,1.0,"{""id"": 4523934947, ""qualifierId"": 233, ""value"": ""388""}",9pgdjsh2jwbmdfmrc97hcaqs4,B 93 vs Hobro,2023-09-22,NaN,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,52.0,19,NaN,NaN,NaN,NaN,NaN,83.4,68.2,NaN,NaN,NaN,true,NaN,NaN,96.9,54.0,388,NaN,NaN,NaN,NaN,NaN,0.02569418214261532,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2592998939,409,13,1,43,40,M. Brajanac,4krwgfspxdgpq1pli11b04iga,1,86.9,39.2,2023-09-22T17:44:21.981,2023-09-22T17:45:34,1.0,"{""id"": 4523945711, ""qualifierId"": 15}",9pgdjsh2jwbmdfmrc97hcaqs4,B 93 vs Hobro,2023-09-22,NaN,true,NaN,true,NaN,NaN,NaN,NaN,true,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.5,68.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,99.8,48.4,NaN,NaN,NaN,NaN,NaN,NaN,0.006914212834089994,NaN,NaN,3,3,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2593000695,426,15,1,45,59,M. Brajanac,4krwgfspxdgpq1pli11b04iga,1,80.3,29.5,2023-09-22T17:46:40.929,2023-09-22T17:48:01,NaN,"{""id"": 4523954749, ""qualifierId"": 20}",9pgdjsh2jwbmdfmrc97hcaqs4,B 93 vs Hobro,2023-09-22,NaN,NaN,NaN,NaN,true,true,NaN,NaN,NaN,true,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,52.9,19,NaN,NaN,NaN,NaN,NaN,87.1,37.5,NaN,NaN,NaN,NaN,NaN,NaN,99.1,50.5,418,NaN,NaN,NaN,NaN,NaN,0.05304529145359993,NaN,NaN,1,3,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2593010289,445,15,2,45,28,F. Mortensen,1xcf8y3egy8j0g2c6xkcx6o6h,1,97.2,44.5,2023-09-22T18:02:28.553,2023-09-22T18:57:13,1.0,"{""id"": 4524007589, ""qualifierId"": 146, ""value"": ""99.7""}",9pgdjsh2jwbmdfmrc97hcaqs4,B 93 vs Hobro,2023-09-22,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,Center,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,48.0,16.5,NaN,NaN,NaN,NaN,NaN,99.7,47.3,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,425,NaN,NaN,NaN,NaN,NaN,0.41863366961479187,0.7062,NaN,2,1,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2593013537,472,13,2,48,31,F. Dietz,ebd3uvtt54wkdsahc2127j02c,1,78.4,57.6,2023-09-22T18:05:32.150,2023-09-22T18:06:49,NaN,"{""id"": 4524021003, ""qualifierId"": 231, ""value"": ""50.7""}",9pgdjsh2jwbmdfmrc97hcaqs4,B 93 vs Hobro,2023-09-22,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.2,59.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,97.7,50.7,NaN,NaN,NaN,NaN,NaN,NaN,0.028871556743979454,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2593016593,502,13,2,51,9,L. Klitten,ea2x4o6ufsqoz2zz7tqcnvo16,1,88.4,56.7,2023-09-22T18:08:09.236,2023-09-22T18:09:40,1.0,"{""id"": 4524038431, ""qualifierId"": 20}",9pgdjsh2jwbmdfmrc97hcaqs4,B 93 vs Hobro,2023-09-22,NaN,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.5,2.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,98.9,49.8,NaN,NaN,NaN,NaN,NaN,NaN,0.1310385912656784,NaN,NaN,2,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2593027549,597,16,2,59,24,M. Brajanac,4krwgfspxdgpq1pli11b04iga,1,98.3,46.0,2023-09-22T18:16:24.445,2023-09-22T18:17:49,1.0,"{""id"": 4524096091, ""qualifierId"": 15}",9pgdjsh2jwbmdfmrc97hcaqs4,B 93 vs Hobro,2023-09-22,NaN,true,true,NaN,NaN,NaN,NaN,NaN,true,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,46.7,19.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,true,NaN,595,true,99.5,50.5,NaN,NaN,NaN,NaN,NaN,NaN,0.3682137131690979,0.9455,NaN,2,2,true,NaN,2023-09-22 19:16:24.250,59:24.078,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2593029803,610,13,2,61,17,L. Skjellerup,iygkwt0uv3gt899wmlbwc296,1,91.4,58.8,2023-09-22T18:18:17.360,2023-09-22T18:19:40,NaN,"{""id"": 4524109451, ""qualifierId"": 146, ""value"": ""98.1""}",9pgdjsh2jwbmdfmrc97hcaqs4,B 93 vs Hobro,2023-09-22,NaN,true,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,59.0,9.7,NaN,NaN,NaN,NaN,NaN,98.1,58.8,true,NaN,NaN,NaN,NaN,NaN,98.9,51.8,NaN,NaN,NaN,NaN,NaN,NaN,0.03297288343310356,NaN,NaN,3,2,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2593038429,660,15,2,68,25,M. Brajanac,4krwgfspxdgpq1pli11b04iga,1,93.0,59.1,2023-09-22T18:25:25.950,2023-09-22T18:29:28,NaN,"{""id"": 4524172713, ""qualifierId"": 458}",9pgdjsh2jwbmdfmrc97hcaqs4,B 93 vs Hobro,2023-09-22,NaN,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,true,50.2,19,NaN,NaN,NaN,NaN,NaN,94.3,57.4,NaN,NaN,NaN,NaN,NaN,NaN,99.0,51.4,600,NaN,NaN,NaN,NaN,NaN,0.08379440009593964,NaN,NaN,3,2,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ajtb177oqwawkdwbqhldmq6mx,B 93,2593047915,691,16,2,77,18,J. Erenbjerg,a6z9meo0yksv97ntwe0q2k650,1,88.5,50.0,2023-09-22T18:34:19.157,2023-09-22T18:35:36,NaN,"{""id"": 4524212415, ""qualifierId"": 458}",9pgdjsh2jwbmdfmrc97hcaqs4,B 93 vs Hobro,2023-09-22,true,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.1,21.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,99.7,50.2,NaN,NaN,PENALTY_WON,622896,2935,NaN,0.7884,0.9887,NaN,1,1,NaN,715,2023-09-22 19:34:18.432,77:18.260,449902,true,NaN,NaN,690,f2xdwwggbgxncuu9259s3vb56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ajtb177oqwawkdwbqhldmq6mx,B 93,2593052675,740,13,2,81,14,D. Thøgersen,bvc80w5ai425plu54nhgx5fxl,1,78.2,62.9,2023-09-22T18:38:14.779,2023-09-22T18:39:30,1.0,"{""id"": 4524236393, ""qualifierId"": 22}",9pgdjsh2jwbmdfmrc97hcaqs4,B 93 vs Hobro,2023-09-22,NaN,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,34.5,79.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,97.7,50.7,NaN,NaN,NaN,NaN,NaN,NaN,0.018838942050933838,NaN,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2593055659,753,15,2,83,33,M. Kristensen,bp232fgjrfyok2471ec7u1tcl,1,80.2,60.0,2023-09-22T18:40:33.381,2023-09-22T18:41:50,1.0,"{""id"": 4524252805, ""qualifierId"": 18}",9pgdjsh2jwbmdfmrc97hcaqs4,B 93 vs Hobro,2023-09-22,NaN,NaN,NaN,NaN,true,true,NaN,NaN,true,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,46.4,19,NaN,NaN,NaN,NaN,NaN,81.9,58.8,NaN,NaN,NaN,true,NaN,NaN,98.8,50.4,753,NaN,NaN,NaN,NaN,NaN,0.018865175545215607,NaN,true,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2593058195,758,16,2,85,24,M. Kristensen,bp232fgjrfyok2471ec7u1tcl,1,93.3,57.9,2023-09-22T18:42:25.900,2023-09-22T18:44:11,1.0,"{""id"": 4524272909, ""qualifierId"": 138}",9pgdjsh2jwbmdfmrc97hcaqs4,B 93 vs Hobro,2023-09-22,NaN,NaN,NaN,true,NaN,true,NaN,true,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.6,34.8,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,97.1,53.3,NaN,true,NaN,NaN,NaN,NaN,0.07389667630195618,0.3407,NaN,3,3,true,NaN,2023-09-22 19:42:24.478,85:24.306,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ajtb177oqwawkdwbqhldmq6mx,B 93,2593065801,806,15,2,90,50,J. Erenbjerg,a6z9meo0yksv97ntwe0q2k650,1,88.0,33.1,2023-09-22T18:47:50.964,2023-09-22T18:51:17,1.0,"{""id"": 4524305547, ""qualifierId"": 22}",9pgdjsh2jwbmdfmrc97hcaqs4,B 93 vs Hobro,2023-09-22,NaN,NaN,NaN,NaN,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,49.6,19,NaN,NaN,NaN,NaN,NaN,91.1,37.4,NaN,true,NaN,NaN,NaN,NaN,98.8,46.9,804,NaN,NaN,NaN,NaN,NaN,0.05037869140505791,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ajtb177oqwawkdwbqhldmq6mx,B 93,2593068461,835,15,2,92,35,A. Bustamante,82l575a54blgeqlt44q9xu3je,1,71.1,58.7,2023-09-22T18:49:35.759,2023-09-22T18:56:56,1.0,"{""id"": 4524320119, ""qualifierId"": 215}",9pgdjsh2jwbmdfmrc97hcaqs4,B 93 vs Hobro,2023-09-22,NaN,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,50.1,19,true,NaN,NaN,NaN,NaN,74.9,57.6,NaN,NaN,NaN,true,NaN,NaN,96.4,52.2,822,NaN,NaN,NaN,NaN,NaN,0.010525227524340153,NaN,NaN,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
